file_name,duration_seconds
qOTIoIseQtw_000001_000011.mp4,10.0
ITYTeU9_n2Y_000045_000055.mp4,10.01
oN0dnURr3Pc_000007_000017.mp4,10.0
1W4mXOhrXhs_000010_000020.mp4,10.0
Aig3sKZCSLo_000135_000145.mp4,10.002694328438636
j-uDx-np0Sk_000342_000352.mp4,10.0
16oBOWKMwOk_000333_000343.mp4,10.0
_GsVXMWkBO4_000467_000477.mp4,10.0
x4bU02DoqS0_000020_000030.mp4,10.0
BHbmle3Fv1E_000290_000300.mp4,10.01
glNEBar_1-Y_000134_000144.mp4,10.0
_n0cT2OS9aA_000022_000032.mp4,10.0
CJOeYElSu0o_000661_000671.mp4,9.976633333333334
iDsD18OAv_Q_000047_000057.mp4,10.01
9cMLd-7Yj3w_000006_000016.mp4,10.0
BqX7dCrqAyA_000037_000047.mp4,10.01
5AsU7ntJxd4_000035_000045.mp4,9.968291666666666
vgBU9a7CdoI_000003_000013.mp4,6.466666666666667
xKTzJvhfpwQ_000000_000010.mp4,10.0
COIqoei564c_000010_000020.mp4,10.0
0QnKyOvyUtg_000012_000022.mp4,10.01
_ekOIpM7Qds_000257_000267.mp4,6.3063
kP7uA3GaNno_000003_000013.mp4,10.0
0tJH7ktOmz8_000108_000118.mp4,10.0
sovJ_-BsO6s_000018_000028.mp4,10.0
vapBr5mE9b0_000006_000016.mp4,10.0
sMtcdADtkNU_000004_000014.mp4,9.994633753689294
z-5bAAt5omo_000002_000012.mp4,10.01
vHPlRp82Xt0_000000_000010.mp4,10.01
DYpTE_n-Wvk_000008_000018.mp4,5.922583333333333
pK7GKUlwllE_000023_000033.mp4,10.0154633043892
6A9Ii7xNZtQ_000250_000260.mp4,10.01
RuFUVbQyW84_000002_000012.mp4,9.97324252006811
c_gQ9CSaZY4_000000_000010.mp4,10.043366666666667
4iLfjkqwY84_000056_000066.mp4,10.0
qdTuUhwcNOY_000013_000023.mp4,10.0
Q1iCbWf13TY_000000_000010.mp4,10.01
PbyZxS_-BZE_000089_000099.mp4,10.0
pdz8xQ2ZbrU_000022_000032.mp4,10.0
qQG6TKXcj7E_000019_000029.mp4,10.01
9av9efQ8gZA_000026_000036.mp4,8.466791666666666
cgxRomHCp9M_000017_000027.mp4,10.0
9jiRn7q-Fl8_000075_000085.mp4,10.0
NMZ5kxQ3heQ_000000_000010.mp4,3.5172413793103448
TNCpJ0EhfjY_000088_000098.mp4,10.01
5d7uG1loKw0_000135_000145.mp4,10.0
kG7ZSgx3Pj8_000002_000012.mp4,8.942266666666667
cOktW9SKRBM_000003_000013.mp4,6.666666666666667
CSIKgm1nVBk_000048_000058.mp4,10.01
Jm1r-lF68dQ_000028_000038.mp4,9.976633333333334
io51Bqa5XWo_000004_000014.mp4,10.0
TeqJkA8QobE_000056_000066.mp4,10.0
0q9bG_dfKPM_000155_000165.mp4,10.01
05zxbMpvz5o_000154_000164.mp4,10.01001001001001
ugCEqNrTRXo_000064_000074.mp4,9.989309100628091
t6l6iIXeVrk_000054_000064.mp4,10.000793713786809
R6s9Dla6twc_000000_000010.mp4,10.0
n0Ba42fU1cI_000072_000082.mp4,10.01
S72rhDECjqg_000088_000098.mp4,10.0
8ZlXJeIhp7M_000141_000151.mp4,10.0
roTME3JXaMk_000093_000103.mp4,10.01
dKa-Qj9xSYA_000001_000011.mp4,10.01
9CO1Qz3vbQI_000000_000010.mp4,10.00041153956953
1z9tw7zqYYI_000037_000047.mp4,10.015814443858725
TDkiHCThggI_000044_000054.mp4,10.01
N0ULRlBkgmY_000095_000105.mp4,10.0
y5y1k6eJXyA_000021_000031.mp4,10.0
